"Date","Index","Type","Value"
2000-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2001-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2001-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2001-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2001-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2002-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2002-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2002-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2002-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2003-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2003-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2003-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2003-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2004-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2004-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2004-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2004-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2005-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2005-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2005-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2005-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2006-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2006-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2006-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2006-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2007-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2007-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2007-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2007-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2008-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2009-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",NA
2009-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",41.1
2009-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",40.2
2009-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50.1
2009-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.3
2009-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.1
2009-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.7
2009-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.5
2009-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.2
2009-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.7
2009-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.5
2009-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.6
2010-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.5
2010-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64
2010-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",68.1
2010-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",65.4
2010-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.9
2010-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.6
2010-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.2
2010-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.3
2010-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58
2010-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.1
2010-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.3
2010-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.3
2011-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.1
2011-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",66.8
2011-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",67.2
2011-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",66.8
2011-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.6
2011-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.6
2011-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.7
2011-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.7
2011-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57
2011-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.5
2011-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54
2011-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.1
2012-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.9
2012-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.3
2012-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",66.6
